Name,Symbol,Token Address,Pair Address,DEX,age_bucket,launch_dt,launch_age_hours,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,liquidity_growth_pct,wallet_hunt_signal,pairs_count,launch_conf
slopcraft,SLOPCRAFT,HephxhDavKo6joaqQe7ELo4cu7r636f8RXFgg7evBAGS,DUsafQAdDKDhxmH2JnCxr4BjKPSFSwDZPcnWDFuQEfFQ,meteora,3-7d,2026-01-11T12:54:45+00:00,116.61214875027778,61.93k,1.03m,462.31k,-15.41,1.0709868268411347,2,high
Peekmoney,PEEKMONEY,6PqE3qcmoJy9pP6yBXHSaAogdt7LfgKhXqYB2xK6BAGS,CBqUngTamYwhqMiMYbKmQLqhcfAtJsYh25rLL96eiWCy,meteora,3-7d,2026-01-10T09:31:25+00:00,144.00103763916667,39.82k,445.72k,191.74k,7.05,0.8357513206588836,1,high
