Name,Symbol,Token Address,Pair Address,DEX,age_bucket,seen_count,launch_liquidity_usd,liquidity_growth_pct,Liquidity USD,Volume 24h USD,Current MC/FDV USD,txns_h1,txns_h24,liq_to_vol,buys_h1,sells_h1,buys_h6,sells_h6,price_change_h1,price_change_h6,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,Price USD,MC Source,pairs_count,launch_dt,launch_age_hours,launch_conf,launch_pair,launch_dex,launch_quote,pairs_guard_mode,max_pairs_for_new
PsyopAnime,PsyopAnime,2nP9yKQNSGQy851iyawDvBkzkK2R2aqKArQCKc2gpump,FpyosQzp5ijfrxqqBVNm67rfam7VsbVNAm7PUf8Yvt1c,pumpswap,>7d,104,517031.14,-57.72,218601.52,584778.92,2155510.0,129,3731,0.373819,83,46,285,274,-1.19,-0.12,218.60k,584.78k,2.16m,0.002155,marketCap,9,2026-01-10T01:04:57+00:00,536.9277531186111,high,FpyosQzp5ijfrxqqBVNm67rfam7VsbVNAm7PUf8Yvt1c,pumpswap,SOL,exclude,8
Seeker,SKR,SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,VY1ZQXjqBwvuWgVfTfhqanJe96GGoQrX7xZZDrWPGiT,orca,>7d,80,703131.87,-18.94,569943.45,707283.27,94395486.0,349,7482,0.805821,256,93,819,698,-0.11,3.62,569.94k,707.28k,94.40m,0.01656,marketCap,30,2026-01-21T01:55:41+00:00,272.08219756305556,high,VY1ZQXjqBwvuWgVfTfhqanJe96GGoQrX7xZZDrWPGiT,orca,USDC,exclude,8
Jeffrey Epstein,Epstein,EF228ijSZdSampJMvhLUiijJGP5PTH1Z17i71JR5pump,8Hr17Az18WtcHTo5QuuLXMCxQjGzkfpBxRrnStL2gipH,pumpswap,12-24h,5,58455.35,73.87,101633.95,10208074.52,841126.0,3256,118570,0.009956,1938,1318,13554,9347,-29.28,-38.08,101.63k,10.21m,841.13k,0.0008654,marketCap,7,2026-01-31T13:47:22+00:00,20.22080867416667,high,8Hr17Az18WtcHTo5QuuLXMCxQjGzkfpBxRrnStL2gipH,pumpswap,SOL,exclude,8
Eliza Town,ELIZA TOWN,CZRsbB6BrHsAmGKeoxyfwzCyhttXvhfEukXCWnseBAGS,3MnaZsJRmGiZ7jVvWE6iCW4UscG4zjFeFW2GmAExZXvi,meteora,>7d,52,68675.69,-41.56,40135.44,230427.57,258495.0,70,3541,0.174178,17,53,125,204,14.84,17.44,40.14k,230.43k,258.50k,0.0002611,marketCap,8,2026-01-18T00:14:16+00:00,345.7724753408333,high,3MnaZsJRmGiZ7jVvWE6iCW4UscG4zjFeFW2GmAExZXvi,meteora,SOL,exclude,8
Elongate,Elongate,4unWoM3GCpe22TvHcAHpc4ksoMoC9NDZX8RPeCnLpump,4c7GJuRJmstvs4bw78szMw93E2ahW5o9nRJmq6KFseoa,pumpswap,24-48h,5,24624.98,2.77,25307.53,335150.64,72543.0,90,4443,0.075511,49,41,253,193,15.16,-23.81,25.31k,335.15k,72.54k,7.255e-05,marketCap,1,2026-01-30T17:27:27+00:00,40.552753118611115,high,4c7GJuRJmstvs4bw78szMw93E2ahW5o9nRJmq6KFseoa,pumpswap,SOL,exclude,8
Accelerando,Accelerando,HiNkp9CdKqTgPtB6WnnrrUAu9YwQqnrvT6Ceuxoypump,E3ryCiBNosokYEg84pCHx6j5bfZ8tJbkqQzJxrV7ZxZe,pumpswap,24-48h,6,47894.37,119.85,105297.2,2106601.89,1036978.0,2011,17785,0.049984,1058,953,2865,2448,6.38,784.0,105.30k,2.11m,1.04m,0.00104,marketCap,2,2026-01-30T21:43:23+00:00,36.28719756305556,high,E3ryCiBNosokYEg84pCHx6j5bfZ8tJbkqQzJxrV7ZxZe,pumpswap,SOL,exclude,8
Eva Everywhere,EVA,4gfNpwo8LQtcgGrNmgWhuwfFhttgZ8Qb6QXN4Yz8BAGS,2pBZiM73oiJq2RiW9LxTe4Mc52vmxxvoaT4mj5LcF9Fe,meteora,3-7d,52,171009.26,-11.18,151895.08,682309.96,3053217.0,114,4024,0.222619,32,82,504,484,15.86,16.38,151.90k,682.31k,3.05m,0.003053,marketCap,9,2026-01-25T20:42:04+00:00,157.3091420075,high,2pBZiM73oiJq2RiW9LxTe4Mc52vmxxvoaT4mj5LcF9Fe,meteora,SOL,exclude,8
Get Shit Done,GSD,8116V1BW9zaXUM6pVhWVaAduKrLcEBi3RGXedKTrBAGS,DwudWjVAN7bZkW9zWLbYv6ksPdLvHWZRqy6eBk8xZXKV,meteora,>7d,106,66248.6,80.09,119305.73,522088.81,2321728.0,195,3795,0.228516,152,43,940,876,12.38,49.03,119.31k,522.09k,2.32m,0.002321,marketCap,16,2026-01-17T00:30:57+00:00,369.4944197852778,high,DwudWjVAN7bZkW9zWLbYv6ksPdLvHWZRqy6eBk8xZXKV,meteora,SOL,exclude,8
OpenClaw,OPENCLAW,8nuBeqkiHwv4HFfFM6iFdH6bdjtKF1XcZXkEr9nCpump,3n1edzjyqZMrG6ghFM8rUJYsE4i8UhwgvpYkrUUKDSRb,pumpswap,6-12h,4,258543.53,78.39,461225.15,2306650.72,27774698.0,1902,29449,0.199954,1297,605,12532,6911,25.76,74.93,461.23k,2.31m,27.77m,0.02777,marketCap,2,2026-02-01T01:46:50+00:00,8.229697563055556,high,3n1edzjyqZMrG6ghFM8rUJYsE4i8UhwgvpYkrUUKDSRb,pumpswap,SOL,exclude,8
moltbook,moltbook,6KywnEuxfERo2SmcPkoott1b7FBu1gYaBup2C6HVpump,8BqUYWX1XrhUYdXs6jHT4LJBx2vAePbszPqHKFhWkmoo,pumpswap,12-24h,5,31038.84,32.84,41232.12,8690814.77,138896.0,544,83037,0.004744,287,257,2954,2564,-11.92,143.0,41.23k,8.69m,138.90k,0.0001389,marketCap,12,2026-01-31T15:19:54+00:00,18.678586451944447,high,8BqUYWX1XrhUYdXs6jHT4LJBx2vAePbszPqHKFhWkmoo,pumpswap,SOL,exclude,8
