rank_by_wallet_signal,Name,Symbol,Token Address,DEX,age_bucket,launch_dt,launch_age_hours,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,ATH_MC_fmt,liquidity_growth_pct,wallet_hunt_signal,pairs_count,launch_conf,seen_count,txns_h1,txns_h24,liq_to_vol,wallet_scan_candidate,wallet_scan_priority,shortlist_reason,heat_override,wallet_scan_eligible
1,WAR,WAR,8opvqaWysX1oYbXuTL8PHaoaTiXD69VFYAX4smPebonk,meteora,3-7d,2026-02-10T00:35:32+00:00,121.41608814305556,51.14k,420.69k,29.11m,38.61m,2175912.77,9.85259497758779,7,high,88,425,6772,0.121553,True,5,HEAT_OVERRIDE,True,False
2,In a world full of,ME,3wshHmD3aBx3wfHPeGWq2o38BNpVaEf7iFf3gYgRpump,pumpswap,3-7d,2026-02-09T16:51:49+00:00,129.14469925416668,35.35k,1.23m,158.90k,,518.41,9.075245100954458,1,high,8,644,13393,0.02874,True,1,OK+HEAT,True,True
3,The Giraffes,GIRAFFES,GbqbsRyBHVPHEv7xLEsikXmdpPPiApLTJesDBbL5pump,pumpswap,3-7d,2026-02-10T01:46:40+00:00,120.23053258750001,53.97k,311.13k,245.23k,617.53k,-28.98,8.714648353298422,5,high,4,82,4744,0.173468,True,1,OK+HEAT,True,True
4,FTX 2.0,FTX2.0,ANVWi3AAkjXRnesAMtAQNRPcrhSnKKbQwsRVe7xpump,pumpswap,3-7d,2026-02-10T11:32:18+00:00,110.46997703194445,30.84k,410.03k,117.89k,,4.15,8.679061614188637,1,high,2,73,4541,0.075206,True,1,OK+HEAT,True,True
5,soluna,soluna,2qT8JVotQ2C1gKbqpuqNatkpSBWxiKHbXkCyTqH9pump,pumpswap,3-7d,2026-02-10T22:44:06+00:00,99.27331036527778,43.88k,224.91k,150.05k,388.07k,-0.89,8.677969341086108,6,high,3,152,6568,0.1951,True,1,OK+HEAT,True,True
