rank_by_wallet_signal,Name,Symbol,Token Address,DEX,age_bucket,launch_dt,launch_age_hours,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,ATH_MC_fmt,liquidity_growth_pct,wallet_hunt_signal,pairs_count,launch_conf,seen_count,txns_h1,txns_h24,liq_to_vol,wallet_scan_candidate,wallet_scan_priority,shortlist_reason,heat_override,wallet_scan_eligible
1,Seeker,SKR,SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,orca,>7d,2026-01-21T01:55:41+00:00,392.08023853055556,707.28k,2.35m,140.14m,248.12m,0.59,10.03957436761898,30,high,101,653,15904,0.301599,True,5,HEAT_OVERRIDE,True,False
2,Nietzschean Penguin,PENGUIN,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,pumpswap,>7d,2026-01-16T19:29:11+00:00,494.5219051972222,660.82k,3.35m,19.20m,137.40m,2012.78,9.58847659168208,19,high,93,357,14348,0.19751,True,5,HEAT_OVERRIDE,True,False
3,Liora Nuclear Beam,BEAM,CV38eqqRKfhvqZ5yyuwuNFGTfof1wYvNguJXt2mZDRMj,meteora,>7d,2026-01-28T01:03:50+00:00,224.9444051972222,211.67k,762.14k,3.48m,8.01m,-7.9,9.152057510357384,7,high,73,51,5552,0.27773,True,1,OK+HEAT,True,True
4,Elon Coin,ELON,2akXpuyFXAVN5YofZpZMfBp2Vxognpmv9NooBMuHpump,pumpswap,>7d,2026-01-29T23:05:06+00:00,178.9232940861111,132.74k,499.20k,882.14k,1.78m,-41.26,8.868585797722034,4,high,44,46,4820,0.265897,True,1,OK+HEAT,True,True
5,PsyopAnime,PsyopAnime,2nP9yKQNSGQy851iyawDvBkzkK2R2aqKArQCKc2gpump,pumpswap,>7d,2026-01-10T01:04:57+00:00,656.9257940861111,220.48k,981.26k,2.72m,2.74m,-57.36,8.547676146508032,8,high,121,144,6597,0.224691,True,1,OK+HEAT,True,True
