rank_by_wallet_signal,Name,Symbol,Token Address,DEX,age_bucket,launch_dt,launch_age_hours,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,ATH_MC_fmt,liquidity_growth_pct,wallet_hunt_signal,pairs_count,launch_conf,seen_count,txns_h1,txns_h24,liq_to_vol,wallet_scan_candidate,wallet_scan_priority,shortlist_reason,heat_override,wallet_scan_eligible
1,Something Big Is Happening,BIG,Gz7VJWyQW6Uqt1Py5S2ZvtYNEFbP4Thmi31n5mx1pump,pumpswap,24-48h,2026-02-11T04:34:02+00:00,29.44033698972222,57.73k,4.11m,371.55k,359.92k,124.68,11.446673953035326,5,high,7,548,47078,0.014052,True,1,HEAT_OVERRIDE,True,True
2,Official Gigachad,GIGACHAD,AKuryic4cQ55EMfhvSGTdAXydQYLtRy6u8EfGdLRBAGS,meteora,24-48h,2026-02-11T08:40:48+00:00,25.327559211944443,36.45k,1.99m,260.24k,,-15.33,11.072332787532492,7,high,5,272,28317,0.018336,True,1,HEAT_OVERRIDE,True,True
3,Preguntale,Preguntale,57KoEZXm2mJwFqbB7fvcgZmmjc9mivFmKhXA45H3pump,pumpswap,24-48h,2026-02-10T11:43:11+00:00,46.28783698972222,57.15k,1.79m,450.81k,453.94k,-24.52,10.606583752230602,2,high,9,19,22147,0.031955,True,1,OK+HEAT,True,True
4,United States RX,USRX,USRX8A1BNVzPSWt9tXA1ZjeMWWnpsWktdhueCBDZAjS,meteora,24-48h,2026-02-10T13:54:24+00:00,44.10089254527778,242.92k,221.75k,7.20m,,-3.11,10.492507709476936,5,high,9,127,4668,1.09545,True,5,HEAT_OVERRIDE,True,False
5,cigoL,CIGOL,25EDYHRPkywy4X8aE1s6iNTztGRbsaRMMwBEerompump,pumpswap,24-48h,2026-02-11T03:06:13+00:00,30.903948100833333,52.32k,341.91k,454.09k,,83.7,10.21110251620515,1,high,3,45,3643,0.153029,True,3,OK,False,True
