Token Address,reason,pairs_count,liquidity_usd,liquidity_fmt,launch_dt,launch_conf,vol24,vol24_fmt,launch_age_days
orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,too_many_pairs>8_and_older_than_30.0d,30.0,,,2022-11-28T02:27:11+00:00,,,,1175.31
7CXDqVCyuf9kLx4rJTqZWnR1YbzdYkJ36GcmrNVhbonk,no_valid_launch_pair,1.0,,,,,,,
AK6r5GzVq155toFcwNj6HqwLTdUBQB9i3Ld3zsnZpump,liquidity<25000.0,4.0,17740.72,17.74k,,,,,
5JcdnWEwuHh1v3SAARq8zH9tEwDQGpaHzBrZ81m4pump,no_valid_launch_pair,1.0,,,,,,,
3jUf2RTyXp867piSB2dt8uUcNiLDW58asjGtXkRAkBbe,launch_older_than_30.0d,6.0,,,2025-10-08T10:43:01+00:00,high,,,
GbqbsRyBHVPHEv7xLEsikXmdpPPiApLTJesDBbL5pump,vol24<200000.0,4.0,,,,,192497.28,192.50k,
4ncksYRo493aeV5NJjvsynzyHfkpNSFivxMrcU3ASBoX,liquidity<25000.0,2.0,2.8,2.8,,,,,
G57mDyoMfFDsc47v4qMQWYU1mTqAuobDjt8nbotrpump,no_valid_launch_pair,1.0,,,,,,,
3j92g6mygEzuQ25Atdy8xPsScH7hsn33PjH31ZqP61Rg,no_valid_launch_pair,2.0,,,,,,,
4X5Yg8xwwyLkuxjkaRzsiXUVnE6bAvkqn1ePgdbWpump,liquidity<25000.0,2.0,11634.81,11.63k,,,,,
5tW2XL5477U17bmuW5qb5brp39Pa1zrtMDJe8vFWpump,no_valid_launch_pair,1.0,,,,,,,
9rVXh9aWB8z2adVZHSwYxLaPyW8zGUbV2WKbhje1pump,no_valid_launch_pair,1.0,,,,,,,
8p7JXhoMmrGw5e4DiKmzGKi3E2s2q6JX8PsDX95Dpump,no_valid_launch_pair,1.0,,,,,,,
8qvs2ssGM4aEUojSsmy7UQEKrjqdH26dJ2naxNzEpump,no_valid_launch_pair,1.0,,,,,,,
AkqyPWNseVKUrUx6uaVRYyzKWCQAeSB8FkRaMZjbDmgZ,liquidity<25000.0,1.0,16851.23,16.85k,,,,,
64GhPSS8P8wNaGWH2uysASxp9XYsqS3An3eJ3w5YNJK9,no_valid_launch_pair,2.0,,,,,,,
9u1ms6Ud9bNv4VWW7uoMYCq48PBumcaz95cw2Jdipump,liquidity<25000.0,3.0,10104.13,10.10k,,,,,
8s3qVJDAmV8AMecQfsMyi7kqRtSnzdchAUcfsgcZpump,no_valid_launch_pair,1.0,,,,,,,
3CfeKRC7ftn4kigns5HJWA6EGPNv2LMzGHUkMHqx83nW,no_valid_launch_pair,1.0,,,,,,,
GVT6GP22s27p6ghMnmxV2ftgQMk4fKG6pHbmtWmxpump,launch_older_than_30.0d,1.0,,,2026-01-15T10:57:57+00:00,low,,,
8FZeqNACFQ7sca6cjqqeKoQrvxXFg7j8RBRLx8orpump,no_valid_launch_pair,1.0,,,,,,,
CoBLd6DPJ3Xardbp62XPjYduNcHqzRzbb5fQxC2JKGtc,liquidity<25000.0,1.0,0.0,0,,,,,
EbK5G6XVBNLZaUuN9Qp4rs3J9PqwnQJ3uTdaecNnpump,no_valid_launch_pair,1.0,,,,,,,
kdcNXoyeT41Me6hanTZUuZsdZbRXQkDTTeDgs29pump,no_valid_launch_pair,1.0,,,,,,,
8ucgWfoG9UDTZttgzKP99f4pLtZyczDan2GDHiG7pump,liquidity<25000.0,1.0,18480.21,18.48k,,,,,
24W7u4S4zPykRR8YbEJXwUCtiJ7zSGQudpSNwVQgpump,launch_older_than_30.0d,1.0,,,2025-09-06T16:11:56+00:00,low,,,
6Jc7JsWnjLMvpwJ1yaRacH75v91LnAjhpLkJ8FdQ35i7,launch_older_than_30.0d,1.0,,,2025-07-10T18:26:06+00:00,low,,,
4qtxdw3UK9SBub2QXbJuSG6tqZBqXQS8PXrbJsFwJRhK,no_valid_launch_pair,1.0,,,,,,,
5ECBD8pgVUAn76qxGbusH7oYLowhFjYXx8K1yGpupump,no_valid_launch_pair,1.0,,,,,,,
jk1T35eWK41MBMM8AWoYVaNbjHEEQzMDetTsfnqpump,launch_older_than_30.0d,3.0,,,2025-12-29T21:32:26+00:00,high,,,
B93DtGgjEY9m8DxqpQpKEQrZWsP3NYHh1VeVnXfzpump,no_valid_launch_pair,1.0,,,,,,,
8k6gHYA9fyL5HHDbv983EMHZBqtHHoN43NCpjtfRpump,no_valid_launch_pair,1.0,,,,,,,
7KHtJEAkW4ibZeqhYkdcWEFhLASGtu4TUPt7qAEipump,launch_older_than_30.0d,2.0,,,2024-11-11T15:57:39+00:00,low,,,
Fa7ZE9nCEYnrHsnoeHuhEExJpchtrBtKXnWe6CgHpump,liquidity<25000.0,2.0,19166.27,19.17k,,,,,
2hnaAhHdLma8mKMJG9doHCYCpA6cJCgFmvaUiwmRpump,no_valid_launch_pair,1.0,,,,,,,
3YN82bKvySVCEE1wopiA9JeJTFat8fn3eMjU44Ncpump,no_valid_launch_pair,1.0,,,,,,,
DrigWy2sTGB9DgUNCb9KeuLSU1Pi3TNWqC9DMsV6pump,no_valid_launch_pair,1.0,,,,,,,
